Matrix ID	TF Locus	Matrix Type
TFmatrixID_0053	Cucsa.126860	Inferred
TFmatrixID_0053	Cucsa.126880	Inferred
TFmatrixID_0053	Cucsa.129320	Inferred
TFmatrixID_0053	Cucsa.139820	Inferred
TFmatrixID_0053	Cucsa.156890	Inferred
TFmatrixID_0053	Cucsa.190200	Inferred
TFmatrixID_0053	Cucsa.195660	Inferred
TFmatrixID_0053	Cucsa.244290	Inferred
TFmatrixID_0053	Cucsa.250290	Inferred
TFmatrixID_0053	Cucsa.253400	Inferred
TFmatrixID_0053	Cucsa.286530	Inferred
TFmatrixID_0053	Cucsa.300100	Inferred
TFmatrixID_0053	Cucsa.321150	Inferred
TFmatrixID_0053	Cucsa.349200	Inferred
TFmatrixID_0053	Cucsa.363830	Inferred
TFmatrixID_0053	Cucsa.365850	Inferred
TFmatrixID_0053	Cucsa.394520	Inferred
TFmatrixID_0053	Medtr1g112020	Inferred
TFmatrixID_0053	Medtr1g124930	Inferred
TFmatrixID_0053	Medtr2g017810	Inferred
TFmatrixID_0053	Medtr2g017860	Inferred
TFmatrixID_0053	Medtr2g018540	Inferred
TFmatrixID_0053	Medtr3g144490	Inferred
TFmatrixID_0053	Medtr3g151340	Inferred
TFmatrixID_0053	Medtr4g006420	Inferred
TFmatrixID_0053	Medtr4g108460	Inferred
TFmatrixID_0053	Medtr4g129660	Inferred
TFmatrixID_0053	Medtr4g129680	Inferred
TFmatrixID_0053	Medtr4g129720	Inferred
TFmatrixID_0053	Medtr4g129730	Inferred
TFmatrixID_0053	Medtr4g141530	Inferred
TFmatrixID_0053	Medtr5g034230	Inferred
TFmatrixID_0053	Medtr5g092410	Inferred
TFmatrixID_0053	Medtr5g092450	Inferred
TFmatrixID_0053	Medtr7g020790	Inferred
TFmatrixID_0053	Medtr7g020810	Inferred
TFmatrixID_0053	Medtr8g081790	Inferred
TFmatrixID_0053	Medtr8g105180	Inferred
TFmatrixID_0053	Medtr8g105200	Inferred
TFmatrixID_0053	Medtr8g139310	Inferred
TFmatrixID_0053	estExt_fgenesh1_pg.C_Chr_04.00010339	Inferred
TFmatrixID_0053	ppa006366m	Inferred
TFmatrixID_0053	ppa006595m	Inferred
TFmatrixID_0053	ppa007093m	Inferred
TFmatrixID_0053	ppa007106m	Inferred
TFmatrixID_0053	ppa007892m	Inferred
TFmatrixID_0053	ppa008772m	Inferred
TFmatrixID_0053	ppa008915m	Inferred
TFmatrixID_0053	ppa010090m	Inferred
TFmatrixID_0053	ppa010804m	Inferred
TFmatrixID_0053	ppa010893m	Inferred
TFmatrixID_0053	ppa010982m	Inferred
TFmatrixID_0053	ppa011097m	Inferred
TFmatrixID_0053	ppa012385m	Inferred
TFmatrixID_0053	ppa017002m	Inferred
TFmatrixID_0053	ppa018569m	Inferred
TFmatrixID_0053	ppa020928m	Inferred
TFmatrixID_0053	ppa022010m	Inferred
TFmatrixID_0053	ppa022435m	Inferred
TFmatrixID_0053	ppa023235m	Inferred
TFmatrixID_0053	ppa024329m	Inferred
TFmatrixID_0053	27446.m000475	Inferred
TFmatrixID_0053	27904.m000217	Inferred
TFmatrixID_0053	27965.m000108	Inferred
TFmatrixID_0053	28552.m000029	Inferred
TFmatrixID_0053	29640.m000403	Inferred
TFmatrixID_0053	29680.m001678	Inferred
TFmatrixID_0053	29726.m004013	Inferred
TFmatrixID_0053	29792.m000600	Inferred
TFmatrixID_0053	29801.m003186	Inferred
TFmatrixID_0053	29863.m001066	Inferred
TFmatrixID_0053	29900.m001559	Inferred
TFmatrixID_0053	29983.m003147	Inferred
TFmatrixID_0053	30128.m008556	Inferred
TFmatrixID_0053	30128.m008571	Inferred
TFmatrixID_0053	30131.m006951	Inferred
TFmatrixID_0053	30131.m006971	Inferred
TFmatrixID_0053	30147.m014403	Inferred
TFmatrixID_0053	30190.m011321	Inferred
TFmatrixID_0053	30190.m011323	Inferred
TFmatrixID_0053	Os06g0691100	Inferred
TFmatrixID_0053	Os07g0669500	Inferred
TFmatrixID_0053	Os07g0674800	Inferred
TFmatrixID_0053	Os08g0537900	Inferred
TFmatrixID_0053	Os09g0287000	Inferred
TFmatrixID_0053	Os09g0457900	Inferred
TFmatrixID_0053	Os10g0390800	Inferred
TFmatrixID_0053	LOC_Os10g30840	Inferred
TFmatrixID_0053	Os11g0168500	Inferred
TFmatrixID_0053	Os01g0224100	Inferred
TFmatrixID_0053	Os01g0752500	Inferred
TFmatrixID_0053	Os01g0797600	Inferred
TFmatrixID_0053	Os01g0868000	Inferred
TFmatrixID_0053	LOC_Os02g06330	Inferred
TFmatrixID_0053	Os02g0189500	Inferred
TFmatrixID_0053	Os02g0520000	Inferred
TFmatrixID_0053	Os02g0521100	Inferred
TFmatrixID_0053	Os02g0546600	Inferred
TFmatrixID_0053	Os02g0594300	Inferred
TFmatrixID_0053	Os02g0654700	Inferred
TFmatrixID_0053	Os02g0655200	Inferred
TFmatrixID_0053	Os03g0150200	Inferred
TFmatrixID_0053	Os04g0257500	Inferred
TFmatrixID_0053	Os04g0398000	Inferred
TFmatrixID_0053	Os04g0399800	Inferred
TFmatrixID_0053	Os04g0546800	Inferred
TFmatrixID_0053	Os04g0610400	Inferred
TFmatrixID_0053	Os04g0669200	Inferred
TFmatrixID_0053	Os05g0361700	Inferred
TFmatrixID_0053	Os05g0437050	Inferred
TFmatrixID_0053	Os05g0497300	Inferred
TFmatrixID_0053	scaffold_101444.1	Inferred
TFmatrixID_0053	scaffold_103004.1	Inferred
TFmatrixID_0053	fgenesh2_kg.1__1396__AT1G12890.1	Inferred
TFmatrixID_0053	scaffold_301660.1	Inferred
TFmatrixID_0053	scaffold_301765.1	Inferred
TFmatrixID_0053	estExt_fgenesh1_pg.C_Chr_10369	Inferred
TFmatrixID_0053	gwEuk.4.617.1	Inferred
TFmatrixID_0053	PDK_20s1354201g001	Inferred
TFmatrixID_0053	scaffold_301966.1	Inferred
TFmatrixID_0053	e_gw1.117.76.1	Inferred
TFmatrixID_0053	e_gw1.124.59.1	Inferred
TFmatrixID_0053	e_gw1.149.152.1	Inferred
TFmatrixID_0053	e_gw1.19.142.1	Inferred
TFmatrixID_0053	e_gw1.20.254.1	Inferred
TFmatrixID_0053	e_gw1.21.268.1	Inferred
TFmatrixID_0053	e_gw1.31.217.1	Inferred
TFmatrixID_0053	e_gw1.345.20.1	Inferred
TFmatrixID_0053	e_gw1.487.2.1	Inferred
TFmatrixID_0053	e_gw1.5.258.1	Inferred
TFmatrixID_0053	e_gw1.7.264.1	Inferred
TFmatrixID_0053	estExt_fgenesh1_pg.C_210126	Inferred
TFmatrixID_0053	estExt_gwp_gw1.C_1270048	Inferred
TFmatrixID_0053	fgenesh1_pg.scaffold_23000002	Inferred
TFmatrixID_0053	fgenesh1_pg.scaffold_6000034	Inferred
TFmatrixID_0053	gw1.105.71.1	Inferred
TFmatrixID_0053	gw1.121.77.1	Inferred
TFmatrixID_0053	gw1.126.81.1	Inferred
TFmatrixID_0053	gw1.130.147.1	Inferred
TFmatrixID_0053	gw1.136.88.1	Inferred
TFmatrixID_0053	gw1.160.53.1	Inferred
TFmatrixID_0053	gw1.204.54.1	Inferred
TFmatrixID_0053	gw1.259.19.1	Inferred
TFmatrixID_0053	gw1.293.27.1	Inferred
TFmatrixID_0053	gw1.293.28.1	Inferred
TFmatrixID_0053	gw1.340.39.1	Inferred
TFmatrixID_0053	gw1.67.101.1	Inferred
TFmatrixID_0053	gw1.7.214.1	Inferred
TFmatrixID_0053	gw1.90.191.1	Inferred
TFmatrixID_0053	POPTR_0001s11780	Inferred
TFmatrixID_0053	POPTR_0001s12820	Inferred
TFmatrixID_0053	POPTR_0001s12990	Inferred
TFmatrixID_0053	POPTR_0001s15400	Inferred
TFmatrixID_0053	POPTR_0001s15710	Inferred
TFmatrixID_0053	POPTR_0001s32050	Inferred
TFmatrixID_0053	POPTR_0001s36610	Inferred
TFmatrixID_0053	POPTR_0001s40770	Inferred
TFmatrixID_0053	POPTR_0002s04430	Inferred
TFmatrixID_0053	POPTR_0002s06620	Inferred
TFmatrixID_0053	POPTR_0003s07540	Inferred
TFmatrixID_0053	POPTR_0003s07850	Inferred
TFmatrixID_0053	POPTR_0003s15040	Inferred
TFmatrixID_0053	POPTR_0003s15940	Inferred
TFmatrixID_0053	POPTR_0003s16090	Inferred
TFmatrixID_0053	POPTR_0004s04700	Inferred
TFmatrixID_0053	POPTR_0004s04720	Inferred
TFmatrixID_0053	POPTR_0004s14840	Inferred
TFmatrixID_0053	POPTR_0005s08940	Inferred
TFmatrixID_0053	POPTR_0005s21690	Inferred
TFmatrixID_0053	POPTR_0005s24110	Inferred
TFmatrixID_0053	POPTR_0007s01110	Inferred
TFmatrixID_0053	POPTR_0007s07090	Inferred
TFmatrixID_0053	POPTR_0008s19030	Inferred
TFmatrixID_0053	POPTR_0008s22750	Inferred
TFmatrixID_0053	POPTR_0009s10470	Inferred
TFmatrixID_0053	POPTR_0010s05670	Inferred
TFmatrixID_0053	POPTR_0011s05570	Inferred
TFmatrixID_0053	POPTR_0011s05580	Inferred
TFmatrixID_0053	POPTR_0011s11620	Inferred
TFmatrixID_0053	POPTR_0012s11030	Inferred
TFmatrixID_0053	POPTR_0017s04540	Inferred
TFmatrixID_0053	POPTR_0017s08090	Inferred
TFmatrixID_0053	POPTR_0270s00200	Inferred
TFmatrixID_0053	scaffold_601402.1	Inferred
TFmatrixID_0053	fgenesh2_kg.1__2978__AT1G28160.1	Inferred
TFmatrixID_0053	scaffold_800707.1	Inferred
TFmatrixID_0053	fgenesh2_kg.1__3004__AT1G28360.1	Inferred
TFmatrixID_0053	Sb01g020555	Inferred
TFmatrixID_0053	Sb01g046920	Inferred
TFmatrixID_0053	Sb02g026630	Inferred
TFmatrixID_0053	Sb02g029550	Inferred
TFmatrixID_0053	Sb02g042760	Inferred
TFmatrixID_0053	Sb03g001296	Inferred
TFmatrixID_0053	Sb03g034780	Inferred
TFmatrixID_0053	Sb03g037080	Inferred
TFmatrixID_0053	Sb03g037085	Inferred
TFmatrixID_0053	Sb04g006080	Inferred
TFmatrixID_0053	Sb04g021160	Inferred
TFmatrixID_0053	Sb04g024690	Inferred
TFmatrixID_0053	Sb05g004170	Inferred
TFmatrixID_0053	Sb06g014800	Inferred
TFmatrixID_0053	Sb06g028090	Inferred
TFmatrixID_0053	Sb07g006190	Inferred
TFmatrixID_0053	Sb07g006195	Inferred
TFmatrixID_0053	Sb07g006200	Inferred
TFmatrixID_0053	Sb07g006210	Inferred
TFmatrixID_0053	Sb07g023030	Inferred
TFmatrixID_0053	Sb07g025843	Inferred
TFmatrixID_0053	Sb08g004260	Inferred
TFmatrixID_0053	Sb09g017950	Inferred
TFmatrixID_0053	Sb09g024400	Inferred
TFmatrixID_0053	Sb10g028110	Inferred
TFmatrixID_0053	scaffold_802838.1	Inferred
TFmatrixID_0053	GSVIVG00001089001	Inferred
TFmatrixID_0053	GSVIVG00005747001	Inferred
TFmatrixID_0053	GSVIVG00008649001	Inferred
TFmatrixID_0053	GSVIVG00013913001	Inferred
TFmatrixID_0053	GSVIVG00013916001	Inferred
TFmatrixID_0053	GSVIVG00013935001	Inferred
TFmatrixID_0053	GSVIVG00014291001	Inferred
TFmatrixID_0053	GSVIVG00017542001	Inferred
TFmatrixID_0053	GSVIVG00020584001	Inferred
TFmatrixID_0053	GSVIVG00021098001	Inferred
TFmatrixID_0053	GSVIVG00030515001	Inferred
TFmatrixID_0053	GSVIVG00031747001	Inferred
TFmatrixID_0053	GSVIVG00032961001	Inferred
TFmatrixID_0053	GSVIVG00032983001	Inferred
TFmatrixID_0053	GSVIVG00034563001	Inferred
TFmatrixID_0053	GSVIVG00036201001	Inferred
TFmatrixID_0053	GSVIVG00036228001	Inferred
TFmatrixID_0053	GSVIVG00037712001	Inferred
TFmatrixID_0053	estExt_fgenesh4_pg.C_290069	Inferred
TFmatrixID_0053	fgenesh2_kg.1__3005__AT1G28370.1	Inferred
TFmatrixID_0053	fgenesh2_kg.1__4150__AT1G50640.1	Inferred
TFmatrixID_0053	fgenesh2_kg.1__4394__AT1G53170.1	Inferred
TFmatrixID_0053	PK02330.1	Inferred
TFmatrixID_0053	PK02602.1	Inferred
TFmatrixID_0053	PK02998.1	Inferred
TFmatrixID_0053	PK12040.1	Inferred
TFmatrixID_0053	PK15705.1	Inferred
TFmatrixID_0053	PK17878.1	Inferred
TFmatrixID_0053	PK25211.1	Inferred
TFmatrixID_0053	PK26398.1	Inferred
TFmatrixID_0053	SKA_Chlre2_kg.scaffold_45000117	Inferred
TFmatrixID_0053	SKA_e_gwH.71.56.1	Inferred
TFmatrixID_0053	GG.C169_S17_00183	Inferred
TFmatrixID_0053	fgenesh2_kg.3__2255__AT3G20310.1	Inferred
TFmatrixID_0053	fgenesh2_kg.4__1380__AT2G33710.1	Inferred
TFmatrixID_0053	Glyma.20G203600.1	Inferred
TFmatrixID_0053	Glyma.20G195900.1	Inferred
TFmatrixID_0053	Glyma.20G070000.1	Inferred
TFmatrixID_0053	Glyma.19G104200.1	Inferred
TFmatrixID_0053	Glyma.18G281400.1	Inferred
TFmatrixID_0053	Glyma18g20960.1	Inferred
TFmatrixID_0053	Glyma.18G091600.1	Inferred
TFmatrixID_0053	Glyma.17G145300.1	Inferred
TFmatrixID_0053	Glyma17g02710.1	Inferred
TFmatrixID_0053	Glyma.16G148700.1	Inferred
TFmatrixID_0053	Glyma.16G164800.1	Inferred
TFmatrixID_0053	Glyma.16G047600.1	Inferred
TFmatrixID_0053	Glyma.16G147500.1	Inferred
TFmatrixID_0053	Glyma.16G046300.1	Inferred
TFmatrixID_0053	Glyma.15G159100.1	Inferred
TFmatrixID_0053	Glyma.15G159200.1	Inferred
TFmatrixID_0053	Glyma.15G079200.1	Inferred
TFmatrixID_0053	Glyma.15G077000.1	Inferred
TFmatrixID_0053	Glyma.15G077100.1	Inferred
TFmatrixID_0053	Glyma.14G020100.1	Inferred
TFmatrixID_0053	Glyma.14G050100.2	Inferred
TFmatrixID_0053	Glyma.13G274100.1	Inferred
TFmatrixID_0053	Glyma.13G236600.1	Inferred
TFmatrixID_0053	Glyma.13G236500.1	Inferred
TFmatrixID_0053	Glyma.13G233800.1	Inferred
TFmatrixID_0053	Glyma.13G122500.1	Inferred
TFmatrixID_0053	Glyma.12G226600.1	Inferred
TFmatrixID_0053	Glyma12g26780.1	Inferred
TFmatrixID_0053	Glyma12g13320.1	Inferred
TFmatrixID_0053	Glyma.11G036400.1	Inferred
TFmatrixID_0053	chr1.CM0032.40.nd	Inferred
TFmatrixID_0053	chr1.CM0094.670.nd	Inferred
TFmatrixID_0053	chr1.CM0222.280.nd	Inferred
TFmatrixID_0053	chr1.CM0375.170.nd	Inferred
TFmatrixID_0053	chr1.CM1880.220.nd	Inferred
TFmatrixID_0053	chr1.LjT14I13.10.nd	Inferred
TFmatrixID_0053	chr2.LjT11L13.40.nc	Inferred
TFmatrixID_0053	chr2.LjT13P17.230.nd	Inferred
TFmatrixID_0053	chr2.LjT24P12.30.nd	Inferred
TFmatrixID_0053	chr3.CM0080.270.nc	Inferred
TFmatrixID_0053	chr3.CM0282.830.nc	Inferred
TFmatrixID_0053	chr3.CM0282.840.nc	Inferred
TFmatrixID_0053	chr3.CM0690.220.nc	Inferred
TFmatrixID_0053	chr4.CM0175.50.nd	Inferred
TFmatrixID_0053	chr5.CM0052.240.nd	Inferred
TFmatrixID_0053	chr6.CM0114.120.nc	Inferred
TFmatrixID_0053	chr6.CM0114.130.nc	Inferred
TFmatrixID_0053	CM0905.90.nd	Inferred
TFmatrixID_0053	CM1489.100.nc	Inferred
TFmatrixID_0053	LjT03L06.60.nd	Inferred
TFmatrixID_0053	LjT33A04.100.nc	Inferred
TFmatrixID_0053	fgenesh2_kg.6__1285__AT5G13330.1	Inferred
TFmatrixID_0053	fgenesh2_kg.6__1873__AT5G18560.1	Inferred
TFmatrixID_0053	fgenesh2_kg.6__690__AT5G07310.1	Inferred
TFmatrixID_0053	cassava10717.m1	Inferred
TFmatrixID_0053	cassava11359.m1	Inferred
TFmatrixID_0053	cassava11599.m1	Inferred
TFmatrixID_0053	cassava12737.valid.m1	Inferred
TFmatrixID_0053	cassava14079.valid.m1	Inferred
TFmatrixID_0053	cassava14904.m1	Inferred
TFmatrixID_0053	cassava15834.m1	Inferred
TFmatrixID_0053	cassava1589.valid.m1	Inferred
TFmatrixID_0053	cassava16948.m1	Inferred
TFmatrixID_0053	cassava16956.m1	Inferred
TFmatrixID_0053	cassava18871.valid.m1	Inferred
TFmatrixID_0053	cassava18872.valid.m1	Inferred
TFmatrixID_0053	cassava19042.valid.m1	Inferred
TFmatrixID_0053	cassava19043.valid.m1	Inferred
TFmatrixID_0053	cassava19959.m1	Inferred
TFmatrixID_0053	cassava20937.m1	Inferred
TFmatrixID_0053	cassava21524.m1	Inferred
TFmatrixID_0053	cassava21525.m1	Inferred
TFmatrixID_0053	cassava21600.m1	Inferred
TFmatrixID_0053	cassava21882.m1	Inferred
TFmatrixID_0053	cassava3045.m1	Inferred
TFmatrixID_0053	cassava32131.m1	Inferred
TFmatrixID_0053	cassava32306.m1	Inferred
TFmatrixID_0053	cassava33325.m1	Inferred
TFmatrixID_0053	cassava34729.m1	Inferred
TFmatrixID_0053	cassava37846.valid.m1	Inferred
TFmatrixID_0053	cassava38228.valid.m1	Inferred
TFmatrixID_0053	cassava38416.m1	Inferred
TFmatrixID_0053	cassava40570.m1	Inferred
TFmatrixID_0053	cassava42971.valid.m1	Inferred
TFmatrixID_0053	cassava43266.valid.m1	Inferred
TFmatrixID_0053	cassava4486.m1	Inferred
TFmatrixID_0053	cassava45576.m1	Inferred
TFmatrixID_0053	cassava46560.m1	Inferred
TFmatrixID_0053	cassava46974.m1	Inferred
TFmatrixID_0053	cassava4887.m1	Inferred
TFmatrixID_0053	cassava4888.m1	Inferred
TFmatrixID_0053	cassava6588.valid.m1	Inferred
TFmatrixID_0053	cassava8409.m1	Inferred
TFmatrixID_0053	fgenesh2_kg.8__2143__AT5G61600.1	Inferred
TFmatrixID_0053	fgenesh2_kg.8__2506__AT5G64750.1	Inferred
TFmatrixID_0053	fgenesh2_kg.8__388__AT5G44210.1	Inferred
TFmatrixID_0053	mgf000075m	Inferred
TFmatrixID_0053	mgf001695m	Inferred
TFmatrixID_0053	mgf002457m	Inferred
TFmatrixID_0053	mgf005222m	Inferred
TFmatrixID_0053	mgf007166m	Inferred
TFmatrixID_0053	mgf016282m	Inferred
TFmatrixID_0053	mgf019214m	Inferred
TFmatrixID_0053	mgf019280m	Inferred
TFmatrixID_0053	mgf019421m	Inferred
TFmatrixID_0053	mgf019807m	Inferred
TFmatrixID_0053	mgf021215m	Inferred
TFmatrixID_0053	mgf021642m	Inferred
TFmatrixID_0053	mgf022451m	Inferred
TFmatrixID_0053	mgf023367m	Inferred
TFmatrixID_0053	mgf023662m	Inferred
TFmatrixID_0053	fgenesh2_kg.8__69__AT5G47230.1	Inferred
TFmatrixID_0053	fgenesh2_kg.8__881__AT5G50080.1	Inferred
TFmatrixID_0053	scaffold_100331.1	Inferred
TFmatrixID_0053	Zm00001d043491	Inferred
TFmatrixID_0053	Zm00001d007119	Inferred
TFmatrixID_0053	Zm00001d010175	Inferred
TFmatrixID_0053	Zm00001d026271	Inferred
TFmatrixID_0053	Zm00001d025281	Inferred
TFmatrixID_0053	Zm00001d045262	Inferred
TFmatrixID_0053	Zm00001d031796	Inferred
TFmatrixID_0053	Zm00001d036251	Inferred
TFmatrixID_0053	Zm00001d043205	Inferred
TFmatrixID_0053	Zm00001d031673	Inferred
TFmatrixID_0053	GRMZM2G307665	Inferred
TFmatrixID_0053	Zm00001d022488	Inferred
TFmatrixID_0053	Zm00001d036536	Inferred
TFmatrixID_0053	Zm00001d025409	Inferred
TFmatrixID_0053	Zm00001d000339	Inferred
TFmatrixID_0053	Zm00001d050948	Inferred
TFmatrixID_0053	Zm00001d042717	Inferred
TFmatrixID_0053	Zm00001d053707	Inferred
TFmatrixID_0053	Zm00001d039324	Inferred
TFmatrixID_0053	Zm00001d005892	Inferred
TFmatrixID_0053	Zm00001d012584	Inferred
TFmatrixID_0053	Zm00001d021089	Inferred
TFmatrixID_0053	Zm00001d012585	Inferred
TFmatrixID_0053	Glyma.10G223200.1	Inferred
TFmatrixID_0053	Glyma.10G186900.1	Inferred
TFmatrixID_0053	Zm00001d050948	Inferred
TFmatrixID_0053	Glyma.10G118900.1	Inferred
TFmatrixID_0053	Glyma.10G036200.1	Inferred
TFmatrixID_0053	Glyma.09G053000.1	Inferred
TFmatrixID_0053	Glyma.09G052800	Inferred
TFmatrixID_0053	Glyma.09G052900.1	Inferred
TFmatrixID_0053	Glyma.08G320700.1	Inferred
TFmatrixID_0053	Glyma.08G281900.1	Inferred
TFmatrixID_0053	Glyma08g23070.1	Inferred
TFmatrixID_0053	Glyma08g28820.1	Inferred
TFmatrixID_0053	Glyma.07G250100.1	Inferred
TFmatrixID_0053	Glyma07g33510.1	Inferred
TFmatrixID_0053	Glyma07g23240.1	Inferred
TFmatrixID_0053	Glyma07g03040.1	Inferred
TFmatrixID_0053	Glyma.06G290000.1	Inferred
TFmatrixID_0053	Glyma.06G236400.1	Inferred
TFmatrixID_0053	Glyma.06G163700.1	Inferred
TFmatrixID_0053	Glyma.05G063500.1	Inferred
TFmatrixID_0053	Glyma.04G217400.1	Inferred
TFmatrixID_0053	Glyma04g37890.1	Inferred
TFmatrixID_0053	Glyma.03G255500.1	Inferred
TFmatrixID_0053	Glyma.03G159800	Inferred
TFmatrixID_0053	Glyma.03G094700.1	Inferred
TFmatrixID_0053	Glyma.02G294100.1	Inferred
TFmatrixID_0053	Glyma.02G267400.1	Inferred
TFmatrixID_0053	Glyma02g08840.1	Inferred
TFmatrixID_0053	Glyma.02G067600.1	Inferred
TFmatrixID_0053	Glyma.02G066200.1	Inferred
TFmatrixID_0053	Glyma.02G039300.1	Inferred
TFmatrixID_0053	Glyma.01G025400	Inferred
TFmatrixID_0053	Zm00001d018158	Inferred
TFmatrixID_0053	Zm00001d049364	Inferred
TFmatrixID_0053	Zm00001d003884	Inferred
TFmatrixID_0053	Zm00001d003871	Inferred
TFmatrixID_0053	Zm00001d015639	Inferred
TFmatrixID_0053	Zm00001d053195	Inferred
TFmatrixID_0053	Zm00001d002364	Inferred
TFmatrixID_0053	Zm00001d010676	Inferred
TFmatrixID_0053	Zm00001d017466	Inferred
TFmatrixID_0053	Zm00001d053859	Inferred
TFmatrixID_0053	Zm00001d016623	Inferred
TFmatrixID_0053	Zm00001d008968	Inferred
TFmatrixID_0053	Zm00001d022461	Inferred
TFmatrixID_0053	Zm00001d014113	Inferred
TFmatrixID_0053	Zm00001d025298	Inferred
TFmatrixID_0053	Zm00001d038585	Inferred
TFmatrixID_0053	Zm00001d024324	Inferred
TFmatrixID_0053	Zm00001d038584	Inferred
TFmatrixID_0053	Zm00001d016616	Inferred
TFmatrixID_0053	Zm00001d043204	Inferred
TFmatrixID_0053	AC198979.4_FG009	Inferred
TFmatrixID_0054	AT1G06160	Direct
TFmatrixID_0054	AT3G23220	Inferred
TFmatrixID_0054	AT4G18450	Inferred
TFmatrixID_0054	AT5G07310	Inferred
TFmatrixID_0054	BRADI1G00670	Inferred
TFmatrixID_0054	BRADI1G75040	Inferred
TFmatrixID_0054	BRADI3G27690	Inferred
TFmatrixID_0054	BRADI4G38930	Inferred
