TF_Gene_ID	TF_family	TF_name	Short_descr	Species	Invol_cond
AT1G42990	bZIP	BZIP60; ATBZIP60	basic region/leucine zipper motif 60; bZIP transcription factor 60 (AtbZIP60) [BZIP60] [F13A11.5]	Arabidopsis thaliana	involved in the unfolded protein response (UPR). Acts during endoplasmic reticulum stress (ER) by activating unfolded protein response (UPR) target genes via direct binding to the UPR element (UPRE). Plays a role in plant immunity and abiotic stress responses.
AT2G46830	MYB-related	CCA1	circadian clock associated 1; Protein CCA1 (MYB-related transcription factor CCA1) (Protein CIRCADIAN CLOCK ASSOCIATED 1) [CCA1] [F19D11]	Arabidopsis thaliana	involved in the circadian clock and in the phytochrome regulation.
AT2G46590	Dof	DAG2	DOF AFFECTING GERMINATION 2; Dof-type zinc finger DNA-binding family protein; Dof zinc finger protein DOF2.5 (AtDOF2.5) (Dof affecting germination 2) [DOF2.5] [DAG2] [F13A10.12]	Arabidopsis thaliana	involved in the maternal control of seed germination. May ensure the activation of a component that would trigger germination as a consequence of red light perception.
AT1G12610	AP2; ERF	DDF1	DWARF AND DELAYED FLOWERING 1; Integrase-type DNA-binding superfamily protein; Dehydration-responsive element-binding protein 1F (Protein DREB1F) [DREB1F] [DDF2] [ERF033] [T12C24.14]	Arabidopsis thaliana	mediates cold or dehydration-inducible transcription
AT2G23340	AP2; ERF	DEAR3	DREB and EAR motif protein 3; Ethylene-responsive transcription factor ERF008 [ERF008] [T20D16.3]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT4G36900	AP2; ERF	RAP2.10; DEAR4	DREB AND EAR MOTIF PROTEIN 4; related to AP2 10; Ethylene-responsive transcription factor RAP2-10 (Protein RELATED TO APETALA2 10) [RAP2-10] [ERF009] [AP22.2] [C7A10.460]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT2G40340	AP2	DREB2C	NA	Arabidopsis thaliana	NA
AT3G23240	AP2; ERF	ERF1; ATERF1	ethylene response factor 1; Ethylene-responsive transcription factor 1B (AtERF1B) (Ethylene-responsive element-binding factor 1B) (EREBP-1B) [ERF1B] [ERF092] [ERF1] [K14B15.15]	Arabidopsis thaliana	Involved in the regulation of gene expression during the plant development, and/or mediated by stress factors and by components of stress signal transduction pathways. Seems to be a key integrator of ethylene and jasmonate signals in the regulation of ethylene/jasmonate-dependent defenses. Can mediate resistance to necrotizing fungi (Botrytis cinerea and Plectosphaerella cucumerina) and to soil borne fungi (Fusarium oxysporum conglutinans and Fusiarium oxysporum lycopersici), but probably not to necrotizing bacteria (Pseudomonas syringae tomato).
AT2G33860	B3; ARF	ETT; ARF3	ETTIN; Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-related; Auxin response factor 3 (Protein ETTIN) [ARF3] [ETT] [T1B8.30]	Arabidopsis thaliana	modulate early auxin response genes expression. Involved in the establishment or elaboration of tissue patterning during gynoecial development.
AT5G25830	GATA; tify	GATA12	GATA transcription factor 12; GATA transcription factor 12 [GATA12] [F18A17.80]	Arabidopsis thaliana	May be involved in the regulation of some light-responsive genes.
AT2G20570	MYB; G2-like	GLK1; GPRI1	NA	Arabidopsis thaliana	promote chloroplast development.  Acts in a cell-autonomous manner to coordinate and maintain the photosynthetic apparatus within individual cells. May function in photosynthetic capacity optimization by integrating responses to variable environmental and endogenous cues.
AT3G24520	HSF	HSFC1; AT-HSFC1	heat shock transcription factor  C1; Heat stress transcription factor C-1 (AtHsfC1) (AtHsf-08) [HSFC1] [HSF08] [MOB24.9]	Arabidopsis thaliana	NA
AT1G52150	bZIP; Homeodomain; HD-ZIP	CNA; ICU4; ATHB-15; ATHB15	INCURVATA 4; Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein; Homeobox-leucine zipper protein ATHB-15 (HD-ZIP protein ATHB-15) (Homeodomain transcription factor ATHB-15) (Protein CORONA) (Protein INCURVATA 4) [ATHB-15] [CNA] [ICU4] [F5F19.21] [F9I5.18]	Arabidopsis thaliana	involved in the regulation of meristem development to promote lateral organ formation. May regulates procambial and vascular tissue formation or maintenance, and vascular development in inflorescence stems.
AT5G16560	Myb/SANT; MYB; G2-like	KAN; KAN1	KANADI 1; Homeodomain-like superfamily protein; Transcription repressor KAN1 (Protein KANADI 1) [KAN1] [KAN] [MQK4.31]	Arabidopsis thaliana	Transcriptional repressor that regulates lateral organ polarity. Promotes lateral organ abaxial identity by repressing the adaxial regulator ASYMMETRIC LEAVES2 (AS2) in abaxial cells. Required for abaxial identity in both leaves and carpels. Functions with KAN2 in the specification of polarity of the ovule outer integument. Regulates cambium activity by repressing the auxin efflux carrier PIN1. Plays a role in lateral root formation and development.
AT5G42630	Myb/SANT; MYB; G2-like	KAN4; ATS	KANADI 4; Homeodomain-like superfamily protein; Probable transcription factor KAN4 (Protein ABERRANT TESTA SHAPE) (Protein KANADI 4) [KAN4] [ATS] [MFO20.5]	Arabidopsis thaliana	regulates carpel integuments formation. Required for the specification of polarity in the ovule inner integument. Modulates the content of flavonols and proanthocyanidin in seeds.
AT2G42430	LOB; LBD	LBD16; ASL18	lateral organ boundaries-domain 16; LOB domain-containing protein 16 (ASYMMETRIC LEAVES 2-like protein 18) (AS2-like protein 18) [LBD16] [ASL18] [MHK10.15]	Arabidopsis thaliana	Involved in lateral root formation.
P12959	bZIP	o2	opaque endosperm2	Zea mays	NA
AT1G03800	AP2	ERF10	NA	Arabidopsis thaliana	NA
AT1G12980	AP2	DRN	NA	Arabidopsis thaliana	NA
AT1G24590	AP2	DRNL	NA	Arabidopsis thaliana	NA
AT1G28360	AP2; ERF	ERF12; ATERF12	ERF domain protein 12; Ethylene-responsive transcription factor 12 (AtERF12) (Ethylene-responsive element-binding factor 12) (EREBP-12) [ERF12] [ERF-12] [ERF081] [F3M18.21]	Arabidopsis thaliana	Involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT3G16770	AP2; ERF	RAP2.3; ATEBP; ERF72; EBP	RELATED TO AP2 3; ethylene-responsive element binding protein; Ethylene-responsive transcription factor RAP2-3 (Cadmium-induced protein AS30) (Ethylene response factor 72) (ERF72) (Ethylene-responsive element binding protein) (AtEBP) (Protein RELATED TO APETALA2 3) (Related to AP2 3) [RAP2-3] [EBP] [ERF072] [MGL6.1] [MGL6.24]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT5G13910	AP2; ERF	LEP	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor LEP (Protein LEAFY PETIOLE) [LEP] [ERF085] [MAC12.13]	Arabidopsis thaliana	Cell division-promoting factor involved in leaf blade differentiation, inflorescence branching, as well as in carpel and silique shape. Promotes the number of xylem cells. Regulates positively the gibberellin signaling pathway leading to germination, hypocotyl elongation, and leaf expansion. May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways
AT5G18560	AP2; ERF	PUCHI	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF086 [ERF086] [T28N17.40]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT5G44210	AP2; ERF	ERF9; ATERF9; ATERF-9	erf domain protein 9; Ethylene-responsive transcription factor 9 (AtERF9) (Ethylene-responsive element-binding factor 9) (EREBP-9) [ERF9] [ERF-9] [ERF080] [MLN1.14]	Arabidopsis thaliana	Involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT5G50080	AP2	ERF110	NA	Arabidopsis thaliana	NA
AT5G64750	AP2	ABR1	NA	Arabidopsis thaliana	NA
POPTR_0001s11780	AP2	ERF6	NA	Populus trichocarpa	NA
POPTR_0001s12820	AP2	ERF65	NA	Populus trichocarpa	NA
POPTR_0001s12990	AP2	ERF70	NA	Populus trichocarpa	NA
POPTR_0001s15400	AP2	ERF4	NA	Populus trichocarpa	NA
POPTR_0001s15710	AP2	ERF67	NA	Populus trichocarpa	NA
POPTR_0001s32050	AP2	ERF52	NA	Populus trichocarpa	NA
POPTR_0001s36610	AP2	ERF40	NA	Populus trichocarpa	NA
POPTR_0001s40770	AP2	ERF50	NA	Populus trichocarpa	NA
POPTR_0002s04430	AP2	ERF41	NA	Populus trichocarpa	NA
POPTR_0002s06620	AP2	ERF75	NA	Populus trichocarpa	NA
POPTR_0003s15040	AP2	ERF5	NA	Populus trichocarpa	NA
POPTR_0003s15940	AP2	ERF64	NA	Populus trichocarpa	NA
POPTR_0004s04700	AP2	ERF43	NA	Populus trichocarpa	NA
POPTR_0004s04720	AP2	ERF48	NA	Populus trichocarpa	NA
POPTR_0004s14840	AP2	ERF68	NA	Populus trichocarpa	NA
POPTR_0005s08940	AP2	ERF74	NA	Populus trichocarpa	NA
POPTR_0005s21690	AP2	ERF76	NA	Populus trichocarpa	NA
POPTR_0005s24110	AP2	ERF42	NA	Populus trichocarpa	NA
POPTR_0007s01110	AP2	ERF45	NA	Populus trichocarpa	NA
POPTR_0007s07090	AP2	ERF73	NA	Populus trichocarpa	NA
POPTR_0008s19030	AP2	ERF61	NA	Populus trichocarpa	NA
POPTR_0008s22750	AP2	ERF63	NA	Populus trichocarpa	NA
POPTR_0009s10470	AP2	ERF69	NA	Populus trichocarpa	NA
POPTR_0010s05670	AP2	ERF60	NA	Populus trichocarpa	NA
POPTR_0011s05570	AP2	ERF44	NA	Populus trichocarpa	NA
POPTR_0011s11620	AP2	ERF49	NA	Populus trichocarpa	NA
POPTR_0012s11030	AP2	ERF72	NA	Populus trichocarpa	NA
POPTR_0017s04540	AP2	ERF46	NA	Populus trichocarpa	NA
POPTR_0017s08090	AP2	ERF51	NA	Populus trichocarpa	NA
AT1G06160	AP2; ERF	ORA59	octadecanoid-responsive Arabidopsis AP2/ERF 59; Ethylene-responsive transcription factor ERF094 (Protein OCTADECANOID-RESPONSIVE ARABIDOPSIS AP2/ERF 59) [ERF094] [ORA59] [F9P14.2]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways. Acts as an essential integrator of the JA and ethylene signal transduction pathways.
AT3G23220	AP2; ERF	ESE1	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF095 [ERF095] [K14B15.13]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
POPTR_0001s11800	AP2	ERF1	NA	Populus trichocarpa	NA
POPTR_0001s15390	AP2	ERF15	NA	Populus trichocarpa	NA
POPTR_0002s04010	AP2	ERF28	NA	Populus trichocarpa	NA
POPTR_0002s04020	AP2	ERF31	NA	Populus trichocarpa	NA
POPTR_0002s04030	AP2	ERF17	NA	Populus trichocarpa	NA
POPTR_0002s04040	AP2	ERF20	NA	Populus trichocarpa	NA
POPTR_0003s07910	AP2	ERF16	NA	Populus trichocarpa	NA
POPTR_0003s15060	AP2	ERF2	NA	Populus trichocarpa	NA
POPTR_0004s05100	AP2	ERF24	NA	Populus trichocarpa	NA
POPTR_0004s05110	AP2	ERF22	NA	Populus trichocarpa	NA
POPTR_0005s24460	AP2	ERF32	NA	Populus trichocarpa	NA
POPTR_0005s24470	AP2	ERF27	NA	Populus trichocarpa	NA
POPTR_0010s08300	AP2	ERF33	NA	Populus trichocarpa	NA
POPTR_0010s08310	AP2	ERF19	NA	Populus trichocarpa	NA
POPTR_0010s08330	AP2	ERF21	NA	Populus trichocarpa	NA
POPTR_0011s06010	AP2	ERF25	NA	Populus trichocarpa	NA
POPTR_0011s06020	AP2	ERF23	NA	Populus trichocarpa	NA
POPTR_0013s04240	AP2	ERF30	NA	Populus trichocarpa	NA
POPTR_0019s03170	AP2	ERF29	NA	Populus trichocarpa	NA
AT1G15360	AP2; ERF	WIN1; SHN1	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor WIN1 (Protein SHINE 1) (Protein WAX INDUCER 1) [WIN1] [ERF001] [SHN1] [F9L1.31]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways
AT5G11190	AP2	SHN3	NA	Arabidopsis thaliana	NA
AT5G25190	AP2; ERF	ESE3	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF003 [ERF003] [F21J6.103]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT5G25390	AP2; ERF	SHN2; SHN3	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor SHINE 3 [SHN3] [ERF005] [F18G18.130]	Arabidopsis thaliana	Promotes cuticle formation by inducing the expression of enzymes involved in wax biosynthesis. May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways
POPTR_0001s14720	AP2	DREB23	NA	Populus trichocarpa	NA
POPTR_0003s02750	AP2	DREB29	NA	Populus trichocarpa	NA
POPTR_0003s17830	AP2	DREB22	NA	Populus trichocarpa	NA
POPTR_0006s06870	AP2	DREB30	NA	Populus trichocarpa	NA
POPTR_0006s26990	AP2	DREB28	NA	Populus trichocarpa	NA
POPTR_0006s27710	AP2	DREB26	NA	Populus trichocarpa	NA
POPTR_0018s01680	AP2	DREB27	NA	Populus trichocarpa	NA
POPTR_0018s02280	AP2	DREB24	NA	Populus trichocarpa	NA
POPTR_0018s13130	AP2	DREB31	NA	Populus trichocarpa	NA
AT1G22985	AP2; ERF	CRF7	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF069 [ERF069] [F19G10.2]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT1G71130	AP2; ERF	CRF8	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF070 [ERF070] [F23N20.12]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT3G61630	AP2; ERF	CRF6	cytokinin response factor 6; Ethylene-responsive transcription factor CRF6 (Protein CYTOKININ RESPONSE FACTOR 6) [CRF6] [ERF067] [F15G16.20]	Arabidopsis thaliana	Component of the cytokinin signaling pathway involved in cotyledons, leaves, and embryos development. May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways
AT4G11140	AP2; ERF	CRF1	cytokinin response factor 1; Ethylene-responsive transcription factor CRF1 (Protein CYTOKININ RESPONSE FACTOR 1) [CRF1] [ERF063] [F2P3.5] [T22B4.120]	Arabidopsis thaliana	Component of the cytokinin signaling pathway involved in cotyledons, leaves, and embryos development. May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways
POPTR_0001s10300	AP2	ERF87	NA	Populus trichocarpa	NA
POPTR_0003s13610	AP2	ERF88	NA	Populus trichocarpa	NA
AT1G25560	AP2; RAV	TEM1; EDF1	AP2/B3 transcription factor family protein; AP2/ERF and B3 domain-containing transcription repressor TEM1 (Protein TEMPRANILLO 1) (RAV1-like ethylene-responsive transcription factor TEM1) [TEM1] [F2J7.3]	Arabidopsis thaliana	Transcritptional repressor of flowering time on long day plants.
AT3G01470	Homeodomain; bZIP; HD-ZIP	HAT5; HB-1	homeobox-leucine zipper protein HAT5	Arabidopsis thaliana	NA
AT1G28370	AP2; ERF	ERF11; ATERF11	ERF domain protein 11; Ethylene-responsive transcription factor 11 (AtERF11) (Ethylene-responsive element-binding factor 11) (EREBP-11) [ERF11] [ERF-11] [ERF076] [F3M18.20]	Arabidopsis thaliana	Involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT1G72360	AP2; ERF	HRE1; ERF73	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF073 [ERF073] [T10D10.17]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
POPTR_0007s11080	AP2	ERF77	NA	Populus trichocarpa	NA
AT1G43160	AP2; ERF	RAP2.6	related to AP2 6; Ethylene-responsive transcription factor RAP2-6 (Protein RELATED TO APETALA2 6) [RAP2-6] [ERF108] [F1I21.18]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT1G04370	AP2	ATERF14	NA	Arabidopsis thaliana	NA
AT1G53910	AP2; ERF	RAP2.12	related to AP2 12; Ethylene-responsive transcription factor RAP2-12 (Protein RELATED TO APETALA2 12) [RAP2-12] [ERF074] [T18A20.14]	Arabidopsis thaliana	involved in the activation of hypoxic gene expression and in ethylene response. Acts as a downstream regulator in the ethylene signaling pathway.
AT2G40220	AP2; ERF	ATABI4; ABI4; SUN6; SIS5; ISI3; GIN6; SAN5	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ABI4 (ERF ABI4) (Protein ABSCISIC ACID INSENSITIVE 4) (Protein GLUCOSE INSENSITIVE 6) (Protein IMPAIRED SUCROSE INDUCTION 3) (Protein SALOBRENO 5) (Protein SUCROSE UNCOUPLED 6) (Protein SUGAR INSENSITIVE 5) [ABI4] [ERF052] [GIN6] [ISI3] [SAN5] [SIS5] [SUN6] [T7M7.16]	Arabidopsis thaliana	Involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways. May have a function in the deetiolation process. Confers sensitivity to abscisic acid (ABA), and regulates the ABA signaling pathway during seed germination, upon nitrate-mediated lateral root inhibition, in hexokinase-dependent sugar responses (including feed-back regulation of photosynthesis and mobilization of storage lipid during germination), and in response to osmotic stress mediated by NaCl, KCl or mannitol. Plays a role in sucrose sensing or signaling, especially at low fluence far red light. Also involved in plant response to glucose treatment, especially at low concentration and in young seedlings. Required for the trehalose-mediated root inhibition and starch accumulation in cotyledons, probably by inhibiting starch breakdown. However, seems to not be involved in sugar-mediated senescence. Required for the ABA-dependent beta-amino-butyric acid (BABA) signaling pathway. BABA primes ABA synthesis and promotes resistance to drought and salt, and leads to a prime callose accumulation that confers resistance against necrotrophic pathogens such as A.brassicicola and P.cucumerina. Seems to be involved in resistance to S.sclerotiorum probably by regulating the ABA-mediated stomatal closure apparently by antagonistic interaction with oxalate. Negative regulator of low water potential-induced Pro accumulation whose effect is decreased by high levels of sugar.
AT2G46310	AP2; ERF	CRF5	cytokinin response factor 5; Ethylene-responsive transcription factor CRF5 (Protein CYTOKININ RESPONSE FACTOR 5) [CRF5] [ERF068] [T3F17.4]	Arabidopsis thaliana	Component of the cytokinin signaling pathway involved in cotyledons, leaves, and embryos development. May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways
AT2G47520	AP2; ERF	HRE2; ERF71	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF071 [ERF071] [T30B22.18]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT4G34410	AP2; ERF	RRTF1	redox responsive transcription factor 1; Ethylene-responsive transcription factor ERF109 [ERF109] [F10M10.180]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
POPTR_0001s11770	AP2	ERF12	NA	Populus trichocarpa	NA
POPTR_0001s16400	AP2	ERF38	NA	Populus trichocarpa	NA
POPTR_0002s20270	AP2	ERF36	NA	Populus trichocarpa	NA
POPTR_0003s06930	AP2	ERF39	NA	Populus trichocarpa	NA
POPTR_0003s15030	AP2	ERF13	NA	Populus trichocarpa	NA
POPTR_0008s07120	AP2	ABI4-2	NA	Populus trichocarpa	NA
POPTR_0008s23260	AP2	ERF35	NA	Populus trichocarpa	NA
POPTR_0010s00900	AP2	ERF34	NA	Populus trichocarpa	NA
POPTR_0010s19370	AP2	DREB2	NA	Populus trichocarpa	NA
POPTR_0013s15440	AP2	ERF82	NA	Populus trichocarpa	NA
POPTR_0014s09020	AP2	ERF84	NA	Populus trichocarpa	NA
POPTR_0014s12090	AP2	ERF37	NA	Populus trichocarpa	NA
AT1G50640	AP2; ERF	ERF3; ATERF3	ethylene responsive element binding factor 3; Ethylene-responsive transcription factor 3 (AtERF3) (Ethylene-responsive element-binding factor 3) (EREBP-3) [ERF3] [ERF-3] [ERF082] [F11F12.4] [F17J6.16]	Arabidopsis thaliana	Involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways
AT1G53170	AP2; ERF	ATERF-8; ATERF8; ERF8	ethylene response factor 8; Ethylene-responsive transcription factor 8 (AtERF8) (Ethylene-responsive element-binding factor 8) (EREBP-8) [ERF8] [ERF-8] [ERF079] [F12M16.6]	Arabidopsis thaliana	Involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT1G68840	AP2; RAV	TEM2; RAV2; AtRAV2	related to ABI3/VP1 2; AP2/ERF and B3 domain-containing transcription repressor RAV2 (Ethylene-responsive transcription factor RAV2) (Protein RELATED TO ABI3/VP1 2) (Protein RELATED TO APETALA2 8) (Protein TEMPRANILLO 2) [RAV2] [RAP2-8] [TEM2] [F14K14.5] [T6L1.3]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT1G74930	AP2; ERF	ORA47	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF018 [ERF018] [F25A4.10] [F9E10.22]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
POPTR_0005s15830	AP2	DREB39	NA	Populus trichocarpa	NA
POPTR_0006s08000	AP2	DREB32	NA	Populus trichocarpa	NA
POPTR_0006s14090	AP2	RAP2L12	NA	Populus trichocarpa	NA
POPTR_0006s14100	AP2	RAP2L11	NA	Populus trichocarpa	NA
POPTR_0006s23480	AP2	RAP2L13	NA	Populus trichocarpa	NA
POPTR_0018s00700	AP2	RAP2L15	NA	Populus trichocarpa	NA
POPTR_0018s08320	AP2	DREB44	NA	Populus trichocarpa	NA
AT5G05410	AP2; ERF	DREB2; DREB2A	DRE-binding protein 2A; Dehydration-responsive element-binding protein 2A (Protein DREB2A) [DREB2A] [ERF045] [K18I23.22]	Arabidopsis thaliana	mediates high salinity- and dehydration-inducible transcription
Os08g0565200	AP2; ERF	DREB2C	Pathogenesis-related transcriptional factor and ERF domain containing protein.; Dehydration-responsive element-binding protein 2C (OsDREB2C) [DREB2C] [AP22] [ERF44] [LOC_Os08g45110] [OSJNBa0044E16.12] [P0705A05.128]	Oryza sativa	NA
Os01g0165000	AP2; ERF	DREB2A	DRE binding protein 2.; Dehydration-responsive element-binding protein 2A (OsDREB2A) [DREB2A] [ERF40] [LOC_Os01g07120] [OsJ_000494]	Oryza sativa	mediates high salinity- and dehydration-inducible transcription
Os03g0174400	AP2; ERF	DREB2E	Hypothetical conserved gene.; Dehydration-responsive element-binding protein 2E (OsDREB2E) [DREB2E] [ERF41] [LOC_Os03g07830]	Oryza sativa	NA
POPTR_0002s03090	AP2	DREB10	NA	Populus trichocarpa	NA
POPTR_0002s09480	AP2	DREB19	NA	Populus trichocarpa	NA
POPTR_0005s16690	AP2	DREB21	NA	Populus trichocarpa	NA
POPTR_0005s25470	AP2	DREB5	NA	Populus trichocarpa	NA
POPTR_0006s05320	AP2	DREB5	NA	Populus trichocarpa	NA
POPTR_0007s05690	AP2	DREB20	NA	Populus trichocarpa	NA
POPTR_0008s07360	AP2	DREB2	NA	Populus trichocarpa	NA
POPTR_0010s19100	AP2	DREB1	NA	Populus trichocarpa	NA
POPTR_0016s05360	AP2	DREB6	NA	Populus trichocarpa	NA
Sb03g004980	AP2	DREB2	NA	Sorghum bicolor	NA
AT4G18960	MADS box; MIKC	AG	MADS domain transcription factor AGAMOUS; K-box region and MADS-box transcription factor family protein; Floral homeotic protein AGAMOUS [AG] [F13C5.130]	Arabidopsis thaliana	involved in the control of organ identity during the early development of flowers. Is required for normal development of stamens and carpels in the wild-type flower. Plays a role in maintaining the determinacy of the floral meristem.
AT1G78080	AP2; ERF	RAP2.4	related to AP2 4; Ethylene-responsive transcription factor RAP2-4 (Ethylene-responsive transcription factor ERF059) (Protein RELATED TO APETALA2 4) [RAP2-4] [ERF059] [F28K19.29] [T11I11.1]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT2G20880	AP2; ERF	ERF53	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF053 [ERF053] [F5H14.15]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
Os05g0351200	AP2; ERF	ABI4	Similar to AP2 domain transcription factor.; Ethylene-responsive transcription factor ABI4 (ERF ABI4) (Protein ABI4 homolog) (OsABI4) [ABI4] [ERF117] [LOC_Os05g28350] [OSJNBa0077J17.14]	Oryza sativa	NA
POPTR_0001s10540	AP2	DREB15	NA	Populus trichocarpa	NA
POPTR_0001s32250	AP2	RAP2L4	NA	Populus trichocarpa	NA
POPTR_0003s13910	AP2	DREB14	NA	Populus trichocarpa	NA
POPTR_0005s07900	AP2	TINYL20	NA	Populus trichocarpa	NA
POPTR_0012s01260	AP2	ERF86	NA	Populus trichocarpa	NA
POPTR_0013s13920	AP2	RAP2L1	NA	Populus trichocarpa	NA
POPTR_0015s06070	AP2	ERF85	NA	Populus trichocarpa	NA
