TF_Gene_ID	TF_family	TF_name	Short_descr	Species	Invol_cond
AT1G42990	bZIP	BZIP60; ATBZIP60	basic region/leucine zipper motif 60; bZIP transcription factor 60 (AtbZIP60) [BZIP60] [F13A11.5]	Arabidopsis thaliana	involved in the unfolded protein response (UPR). Acts during endoplasmic reticulum stress (ER) by activating unfolded protein response (UPR) target genes via direct binding to the UPR element (UPRE). Plays a role in plant immunity and abiotic stress responses.
AT2G46830	MYB-related	CCA1	circadian clock associated 1; Protein CCA1 (MYB-related transcription factor CCA1) (Protein CIRCADIAN CLOCK ASSOCIATED 1) [CCA1] [F19D11]	Arabidopsis thaliana	involved in the circadian clock and in the phytochrome regulation.
AT2G46590	Dof	DAG2	DOF AFFECTING GERMINATION 2; Dof-type zinc finger DNA-binding family protein; Dof zinc finger protein DOF2.5 (AtDOF2.5) (Dof affecting germination 2) [DOF2.5] [DAG2] [F13A10.12]	Arabidopsis thaliana	involved in the maternal control of seed germination. May ensure the activation of a component that would trigger germination as a consequence of red light perception.
AT1G12610	AP2; ERF	DDF1	DWARF AND DELAYED FLOWERING 1; Integrase-type DNA-binding superfamily protein; Dehydration-responsive element-binding protein 1F (Protein DREB1F) [DREB1F] [DDF2] [ERF033] [T12C24.14]	Arabidopsis thaliana	mediates cold or dehydration-inducible transcription
AT2G23340	AP2; ERF	DEAR3	DREB and EAR motif protein 3; Ethylene-responsive transcription factor ERF008 [ERF008] [T20D16.3]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT4G36900	AP2; ERF	RAP2.10; DEAR4	DREB AND EAR MOTIF PROTEIN 4; related to AP2 10; Ethylene-responsive transcription factor RAP2-10 (Protein RELATED TO APETALA2 10) [RAP2-10] [ERF009] [AP22.2] [C7A10.460]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT2G40340	AP2	DREB2C	NA	Arabidopsis thaliana	NA
AT3G23240	AP2; ERF	ERF1; ATERF1	ethylene response factor 1; Ethylene-responsive transcription factor 1B (AtERF1B) (Ethylene-responsive element-binding factor 1B) (EREBP-1B) [ERF1B] [ERF092] [ERF1] [K14B15.15]	Arabidopsis thaliana	Involved in the regulation of gene expression during the plant development, and/or mediated by stress factors and by components of stress signal transduction pathways. Seems to be a key integrator of ethylene and jasmonate signals in the regulation of ethylene/jasmonate-dependent defenses. Can mediate resistance to necrotizing fungi (Botrytis cinerea and Plectosphaerella cucumerina) and to soil borne fungi (Fusarium oxysporum conglutinans and Fusiarium oxysporum lycopersici), but probably not to necrotizing bacteria (Pseudomonas syringae tomato).
AT2G33860	B3; ARF	ETT; ARF3	ETTIN; Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-related; Auxin response factor 3 (Protein ETTIN) [ARF3] [ETT] [T1B8.30]	Arabidopsis thaliana	modulate early auxin response genes expression. Involved in the establishment or elaboration of tissue patterning during gynoecial development.
AT5G25830	GATA; tify	GATA12	GATA transcription factor 12; GATA transcription factor 12 [GATA12] [F18A17.80]	Arabidopsis thaliana	May be involved in the regulation of some light-responsive genes.
AT2G20570	MYB; G2-like	GLK1; GPRI1	NA	Arabidopsis thaliana	promote chloroplast development.  Acts in a cell-autonomous manner to coordinate and maintain the photosynthetic apparatus within individual cells. May function in photosynthetic capacity optimization by integrating responses to variable environmental and endogenous cues.
AT3G24520	HSF	HSFC1; AT-HSFC1	heat shock transcription factor  C1; Heat stress transcription factor C-1 (AtHsfC1) (AtHsf-08) [HSFC1] [HSF08] [MOB24.9]	Arabidopsis thaliana	NA
AT1G52150	bZIP; Homeodomain; HD-ZIP	CNA; ICU4; ATHB-15; ATHB15	INCURVATA 4; Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein; Homeobox-leucine zipper protein ATHB-15 (HD-ZIP protein ATHB-15) (Homeodomain transcription factor ATHB-15) (Protein CORONA) (Protein INCURVATA 4) [ATHB-15] [CNA] [ICU4] [F5F19.21] [F9I5.18]	Arabidopsis thaliana	involved in the regulation of meristem development to promote lateral organ formation. May regulates procambial and vascular tissue formation or maintenance, and vascular development in inflorescence stems.
AT5G16560	Myb/SANT; MYB; G2-like	KAN; KAN1	KANADI 1; Homeodomain-like superfamily protein; Transcription repressor KAN1 (Protein KANADI 1) [KAN1] [KAN] [MQK4.31]	Arabidopsis thaliana	Transcriptional repressor that regulates lateral organ polarity. Promotes lateral organ abaxial identity by repressing the adaxial regulator ASYMMETRIC LEAVES2 (AS2) in abaxial cells. Required for abaxial identity in both leaves and carpels. Functions with KAN2 in the specification of polarity of the ovule outer integument. Regulates cambium activity by repressing the auxin efflux carrier PIN1. Plays a role in lateral root formation and development.
AT5G42630	Myb/SANT; MYB; G2-like	KAN4; ATS	KANADI 4; Homeodomain-like superfamily protein; Probable transcription factor KAN4 (Protein ABERRANT TESTA SHAPE) (Protein KANADI 4) [KAN4] [ATS] [MFO20.5]	Arabidopsis thaliana	regulates carpel integuments formation. Required for the specification of polarity in the ovule inner integument. Modulates the content of flavonols and proanthocyanidin in seeds.
AT2G42430	LOB; LBD	LBD16; ASL18	lateral organ boundaries-domain 16; LOB domain-containing protein 16 (ASYMMETRIC LEAVES 2-like protein 18) (AS2-like protein 18) [LBD16] [ASL18] [MHK10.15]	Arabidopsis thaliana	Involved in lateral root formation.
P12959	bZIP	o2	opaque endosperm2	Zea mays	NA
PK19363.1	AP2	PK19363.1	NA	Cannabis sativa	NA
AT1G03800	AP2	ERF10	NA	Arabidopsis thaliana	NA
AT1G12890	AP2	AT1G12890	NA	Arabidopsis thaliana	NA
AT1G12980	AP2	DRN	NA	Arabidopsis thaliana	NA
AT1G24590	AP2	DRNL	NA	Arabidopsis thaliana	NA
AT1G28160	AP2; ERF	AT1G28160	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF087 [ERF087] [F13K9.25] [F3H9.18]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT1G28360	AP2; ERF	ERF12; ATERF12	ERF domain protein 12; Ethylene-responsive transcription factor 12 (AtERF12) (Ethylene-responsive element-binding factor 12) (EREBP-12) [ERF12] [ERF-12] [ERF081] [F3M18.21]	Arabidopsis thaliana	Involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT3G16770	AP2; ERF	RAP2.3; ATEBP; ERF72; EBP	RELATED TO AP2 3; ethylene-responsive element binding protein; Ethylene-responsive transcription factor RAP2-3 (Cadmium-induced protein AS30) (Ethylene response factor 72) (ERF72) (Ethylene-responsive element binding protein) (AtEBP) (Protein RELATED TO APETALA2 3) (Related to AP2 3) [RAP2-3] [EBP] [ERF072] [MGL6.1] [MGL6.24]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT5G07310	AP2; ERF	AT5G07310	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF115 [ERF115] [T2I1.20]	Arabidopsis thaliana	NA
AT5G13910	AP2; ERF	LEP	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor LEP (Protein LEAFY PETIOLE) [LEP] [ERF085] [MAC12.13]	Arabidopsis thaliana	Cell division-promoting factor involved in leaf blade differentiation, inflorescence branching, as well as in carpel and silique shape. Promotes the number of xylem cells. Regulates positively the gibberellin signaling pathway leading to germination, hypocotyl elongation, and leaf expansion. May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways
AT5G18560	AP2; ERF	PUCHI	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF086 [ERF086] [T28N17.40]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT5G44210	AP2; ERF	ERF9; ATERF9; ATERF-9	erf domain protein 9; Ethylene-responsive transcription factor 9 (AtERF9) (Ethylene-responsive element-binding factor 9) (EREBP-9) [ERF9] [ERF-9] [ERF080] [MLN1.14]	Arabidopsis thaliana	Involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT5G50080	AP2	ERF110	NA	Arabidopsis thaliana	NA
AT5G61890	AP2; ERF	AT5G61890	Integrase-type DNA-binding superfamily protein; Ethylene-responsive transcription factor ERF114 [ERF114] [K22G18.1]	Arabidopsis thaliana	May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways.
AT5G64750	AP2	ABR1	NA	Arabidopsis thaliana	NA
BRADI1G18580	AP2	BRADI1G18580	NA	Brachypodium distachyon	NA
BRADI1G33550	AP2	BRADI1G33550	NA	Brachypodium distachyon	NA
BRADI1G75040	AP2	BRADI1G75040	NA	Brachypodium distachyon	NA
BRADI2G07357	AP2	BRADI2G07357	NA	Brachypodium distachyon	NA
BRADI2G21060	AP2	BRADI2G21060	NA	Brachypodium distachyon	NA
BRADI2G21067	AP2	BRADI2G21067	NA	Brachypodium distachyon	NA
BRADI2G24170	AP2	BRADI2G24170	NA	Brachypodium distachyon	NA
BRADI2G27920	AP2	BRADI2G27920	NA	Brachypodium distachyon	NA
BRADI2G45530	AP2	BRADI2G45530	NA	Brachypodium distachyon	NA
BRADI2G52370	AP2	BRADI2G52370	NA	Brachypodium distachyon	NA
BRADI2G52380	AP2	BRADI2G52380	NA	Brachypodium distachyon	NA
BRADI2G56140	AP2	BRADI2G56140	NA	Brachypodium distachyon	NA
BRADI3G06562	AP2	BRADI3G06562	NA	Brachypodium distachyon	NA
BRADI3G18070	AP2	BRADI3G18070	NA	Brachypodium distachyon	NA
BRADI3G27690	AP2	BRADI3G27690	NA	Brachypodium distachyon	NA
BRADI3G38140	AP2	BRADI3G38140	NA	Brachypodium distachyon	NA
BRADI3G44470	AP2	BRADI3G44470	NA	Brachypodium distachyon	NA
BRADI3G47610	AP2	BRADI3G47610	NA	Brachypodium distachyon	NA
BRADI5G08380	AP2	BRADI5G08380	NA	Brachypodium distachyon	NA
BRADI5G21250	AP2	BRADI5G21250	NA	Brachypodium distachyon	NA
BRADI5G25570	AP2	BRADI5G25570	NA	Brachypodium distachyon	NA
Cucsa.042770	AP2	Cucsa.042770	NA	Cucumis sativus	NA
Cucsa.046390	AP2	Cucsa.046390	NA	Cucumis sativus	NA
Cucsa.095860	AP2	Cucsa.095860	NA	Cucumis sativus	NA
Cucsa.101370	AP2	Cucsa.101370	NA	Cucumis sativus	NA
Cucsa.105790	AP2	Cucsa.105790	NA	Cucumis sativus	NA
Cucsa.122930	AP2	Cucsa.122930	NA	Cucumis sativus	NA
Cucsa.126860	AP2	Cucsa.126860	NA	Cucumis sativus	NA
Cucsa.126880	AP2	Cucsa.126880	NA	Cucumis sativus	NA
Cucsa.129320	AP2	Cucsa.129320	NA	Cucumis sativus	NA
Cucsa.139820	AP2	Cucsa.139820	NA	Cucumis sativus	NA
Cucsa.156890	AP2	Cucsa.156890	NA	Cucumis sativus	NA
Cucsa.190200	AP2	Cucsa.190200	NA	Cucumis sativus	NA
Cucsa.195660	AP2	Cucsa.195660	NA	Cucumis sativus	NA
Cucsa.244290	AP2	Cucsa.244290	NA	Cucumis sativus	NA
Cucsa.250290	AP2	Cucsa.250290	NA	Cucumis sativus	NA
Cucsa.253400	AP2	Cucsa.253400	NA	Cucumis sativus	NA
Cucsa.286530	AP2	Cucsa.286530	NA	Cucumis sativus	NA
Cucsa.300100	AP2	Cucsa.300100	NA	Cucumis sativus	NA
Cucsa.321150	AP2	Cucsa.321150	NA	Cucumis sativus	NA
Cucsa.349200	AP2	Cucsa.349200	NA	Cucumis sativus	NA
Cucsa.363830	AP2	Cucsa.363830	NA	Cucumis sativus	NA
Cucsa.365850	AP2	Cucsa.365850	NA	Cucumis sativus	NA
Cucsa.394520	AP2	Cucsa.394520	NA	Cucumis sativus	NA
Medtr1g112020	AP2	Medtr1g112020	NA	Medicago truncatula	NA
Medtr1g124930	AP2	Medtr1g124930	NA	Medicago truncatula	NA
Medtr2g017810	AP2	Medtr2g017810	NA	Medicago truncatula	NA
Medtr2g017860	AP2	Medtr2g017860	NA	Medicago truncatula	NA
Medtr2g018540	AP2	Medtr2g018540	NA	Medicago truncatula	NA
Medtr3g144490	AP2	Medtr3g144490	NA	Medicago truncatula	NA
Medtr3g151340	AP2	Medtr3g151340	NA	Medicago truncatula	NA
Medtr4g006420	AP2	Medtr4g006420	NA	Medicago truncatula	NA
Medtr4g108460	AP2	Medtr4g108460	NA	Medicago truncatula	NA
Medtr4g129660	AP2	Medtr4g129660	NA	Medicago truncatula	NA
Medtr4g129680	AP2	Medtr4g129680	NA	Medicago truncatula	NA
Medtr4g129720	AP2	Medtr4g129720	NA	Medicago truncatula	NA
Medtr4g129730	AP2	Medtr4g129730	NA	Medicago truncatula	NA
Medtr4g141530	AP2	Medtr4g141530	NA	Medicago truncatula	NA
Medtr5g034230	AP2	Medtr5g034230	NA	Medicago truncatula	NA
Medtr5g092410	AP2	Medtr5g092410	NA	Medicago truncatula	NA
Medtr5g092450	AP2	Medtr5g092450	NA	Medicago truncatula	NA
Medtr7g020790	AP2	Medtr7g020790	NA	Medicago truncatula	NA
Medtr7g020810	AP2	Medtr7g020810	NA	Medicago truncatula	NA
Medtr8g081790	AP2	Medtr8g081790	NA	Medicago truncatula	NA
Medtr8g105180	AP2	Medtr8g105180	NA	Medicago truncatula	NA
Medtr8g105200	AP2	Medtr8g105200	NA	Medicago truncatula	NA
Medtr8g139310	AP2	Medtr8g139310	NA	Medicago truncatula	NA
estExt_fgenesh1_pg.C_Chr_04.00010339	AP2	estExt_fgenesh1_pg.C_Chr_04.00010339	NA	Ostreococcus tauri	NA
ppa006366m	AP2	ppa006366m	NA	Prunus persica	NA
ppa006595m	AP2	ppa006595m	NA	Prunus persica	NA
ppa007093m	AP2	ppa007093m	NA	Prunus persica	NA
ppa007106m	AP2	ppa007106m	NA	Prunus persica	NA
ppa007892m	AP2	ppa007892m	NA	Prunus persica	NA
ppa008772m	AP2	ppa008772m	NA	Prunus persica	NA
ppa008915m	AP2	ppa008915m	NA	Prunus persica	NA
ppa010090m	AP2	ppa010090m	NA	Prunus persica	NA
ppa010804m	AP2	ppa010804m	NA	Prunus persica	NA
ppa010893m	AP2	ppa010893m	NA	Prunus persica	NA
ppa010982m	AP2	ppa010982m	NA	Prunus persica	NA
ppa011097m	AP2	ppa011097m	NA	Prunus persica	NA
ppa012385m	AP2	ppa012385m	NA	Prunus persica	NA
ppa017002m	AP2	ppa017002m	NA	Prunus persica	NA
ppa018569m	AP2	ppa018569m	NA	Prunus persica	NA
ppa020928m	AP2	ppa020928m	NA	Prunus persica	NA
ppa022010m	AP2	ppa022010m	NA	Prunus persica	NA
ppa022435m	AP2	ppa022435m	NA	Prunus persica	NA
ppa023235m	AP2	ppa023235m	NA	Prunus persica	NA
ppa024329m	AP2	ppa024329m	NA	Prunus persica	NA
27446.m000475	AP2	27446.m000475	NA	Ricinus communis	NA
27904.m000217	AP2	27904.m000217	NA	Ricinus communis	NA
27965.m000108	AP2	27965.m000108	NA	Ricinus communis	NA
28552.m000029	AP2	28552.m000029	NA	Ricinus communis	NA
29640.m000403	AP2	29640.m000403	NA	Ricinus communis	NA
29680.m001678	AP2	29680.m001678	NA	Ricinus communis	NA
29726.m004013	AP2	29726.m004013	NA	Ricinus communis	NA
29792.m000600	AP2	29792.m000600	NA	Ricinus communis	NA
29801.m003186	AP2	29801.m003186	NA	Ricinus communis	NA
29863.m001066	AP2	29863.m001066	NA	Ricinus communis	NA
29900.m001559	AP2	29900.m001559	NA	Ricinus communis	NA
29983.m003147	AP2	29983.m003147	NA	Ricinus communis	NA
30128.m008556	AP2	30128.m008556	NA	Ricinus communis	NA
30128.m008571	AP2	30128.m008571	NA	Ricinus communis	NA
30131.m006951	AP2	30131.m006951	NA	Ricinus communis	NA
30131.m006971	AP2	30131.m006971	NA	Ricinus communis	NA
30147.m014403	AP2	30147.m014403	NA	Ricinus communis	NA
30190.m011321	AP2	30190.m011321	NA	Ricinus communis	NA
30190.m011323	AP2	30190.m011323	NA	Ricinus communis	NA
Os06g0691100	AP2	NA	NA	Oryza sativa	NA
Os07g0669500	AP2	NA	NA	Oryza sativa	NA
Os07g0674800	AP2	NA	NA	Oryza sativa	NA
Os08g0537900	AP2	NA	NA	Oryza sativa	NA
Os09g0287000	AP2	NA	NA	Oryza sativa	NA
Os09g0457900	AP2	NA	NA	Oryza sativa	NA
Os10g0390800	AP2	NA	NA	Oryza sativa	NA
LOC_Os10g30840	AP2	NA	NA	Oryza sativa	NA
Os11g0168500	AP2	NA	NA	Oryza sativa	NA
Os01g0224100	AP2	NA	NA	Oryza sativa	NA
Os01g0752500	AP2	NA	NA	Oryza sativa	NA
Os01g0797600	AP2	NA	NA	Oryza sativa	NA
Os01g0868000	AP2	NA	NA	Oryza sativa	NA
LOC_Os02g06330	AP2	NA	NA	Oryza sativa	NA
Os02g0189500	AP2	NA	NA	Oryza sativa	NA
Os02g0520000	AP2	NA	NA	Oryza sativa	NA
Os02g0521100	AP2	NA	NA	Oryza sativa	NA
Os02g0546600	AP2	NA	NA	Oryza sativa	NA
Os02g0594300	AP2	NA	NA	Oryza sativa	NA
Os02g0654700	AP2	NA	NA	Oryza sativa	NA
Os02g0655200	AP2	NA	NA	Oryza sativa	NA
Os03g0150200	AP2	NA	NA	Oryza sativa	NA
Os04g0257500	AP2	NA	NA	Oryza sativa	NA
Os04g0398000	AP2	NA	NA	Oryza sativa	NA
Os04g0399800	AP2	NA	NA	Oryza sativa	NA
Os04g0546800	AP2	NA	NA	Oryza sativa	NA
Os04g0610400	AP2	NA	NA	Oryza sativa	NA
Os04g0669200	AP2	NA	NA	Oryza sativa	NA
Os05g0361700	AP2	NA	NA	Oryza sativa	NA
Os05g0437050	AP2	NA	NA	Oryza sativa	NA
Os05g0497300	AP2	NA	NA	Oryza sativa	NA
scaffold_101444.1	AP2	XM_002889932.1	NA	Arabidopsis lyrata	NA
scaffold_103004.1	AP2	XM_002890656.1	NA	Arabidopsis lyrata	NA
fgenesh2_kg.1__1396__AT1G12890.1	AP2	XM_002889930.1	NA	Arabidopsis lyrata	NA
scaffold_301660.1	AP2	XM_002884978.1	NA	Arabidopsis lyrata	NA
scaffold_301765.1	AP2	XM_002882874.1	NA	Arabidopsis lyrata	NA
estExt_fgenesh1_pg.C_Chr_10369	AP2	estExt_fgenesh1_pg.C_Chr_10369	NA	Ostreococcus lucimarinus	NA
gwEuk.4.617.1	AP2	gwEuk.4.617.1	NA	Ostreococcus lucimarinus	NA
PDK_20s1354201g001	AP2	PDK_20s1354201g001	NA	Phoenix dactylifera	NA
scaffold_301966.1	AP2	XM_002882979.1	NA	Arabidopsis lyrata	NA
e_gw1.117.76.1	AP2	e_gw1.117.76.1	NA	Physcomitrella patens	NA
e_gw1.124.59.1	AP2	e_gw1.124.59.1	NA	Physcomitrella patens	NA
e_gw1.149.152.1	AP2	e_gw1.149.152.1	NA	Physcomitrella patens	NA
e_gw1.19.142.1	AP2	e_gw1.19.142.1	NA	Physcomitrella patens	NA
e_gw1.20.254.1	AP2	e_gw1.20.254.1	NA	Physcomitrella patens	NA
e_gw1.21.268.1	AP2	e_gw1.21.268.1	NA	Physcomitrella patens	NA
e_gw1.31.217.1	AP2	e_gw1.31.217.1	NA	Physcomitrella patens	NA
e_gw1.345.20.1	AP2	e_gw1.345.20.1	NA	Physcomitrella patens	NA
e_gw1.487.2.1	AP2	e_gw1.487.2.1	NA	Physcomitrella patens	NA
e_gw1.5.258.1	AP2	e_gw1.5.258.1	NA	Physcomitrella patens	NA
e_gw1.7.264.1	AP2	e_gw1.7.264.1	NA	Physcomitrella patens	NA
estExt_fgenesh1_pg.C_210126	AP2	estExt_fgenesh1_pg.C_210126	NA	Physcomitrella patens	NA
estExt_gwp_gw1.C_1270048	AP2	estExt_gwp_gw1.C_1270048	NA	Physcomitrella patens	NA
fgenesh1_pg.scaffold_23000002	AP2	fgenesh1_pg.scaffold_23000002	NA	Physcomitrella patens	NA
fgenesh1_pg.scaffold_6000034	AP2	fgenesh1_pg.scaffold_6000034	NA	Physcomitrella patens	NA
gw1.105.71.1	AP2	gw1.105.71.1	NA	Physcomitrella patens	NA
gw1.121.77.1	AP2	gw1.121.77.1	NA	Physcomitrella patens	NA
gw1.126.81.1	AP2	gw1.126.81.1	NA	Physcomitrella patens	NA
gw1.130.147.1	AP2	gw1.130.147.1	NA	Physcomitrella patens	NA
gw1.136.88.1	AP2	gw1.136.88.1	NA	Physcomitrella patens	NA
gw1.160.53.1	AP2	gw1.160.53.1	NA	Physcomitrella patens	NA
gw1.204.54.1	AP2	gw1.204.54.1	NA	Physcomitrella patens	NA
gw1.259.19.1	AP2	gw1.259.19.1	NA	Physcomitrella patens	NA
gw1.293.27.1	AP2	gw1.293.27.1	NA	Physcomitrella patens	NA
gw1.293.28.1	AP2	gw1.293.28.1	NA	Physcomitrella patens	NA
gw1.340.39.1	AP2	gw1.340.39.1	NA	Physcomitrella patens	NA
gw1.67.101.1	AP2	gw1.67.101.1	NA	Physcomitrella patens	NA
gw1.7.214.1	AP2	gw1.7.214.1	NA	Physcomitrella patens	NA
gw1.90.191.1	AP2	gw1.90.191.1	NA	Physcomitrella patens	NA
POPTR_0001s11780	AP2	ERF6	NA	Populus trichocarpa	NA
POPTR_0001s12820	AP2	ERF65	NA	Populus trichocarpa	NA
POPTR_0001s12990	AP2	ERF70	NA	Populus trichocarpa	NA
POPTR_0001s15400	AP2	ERF4	NA	Populus trichocarpa	NA
POPTR_0001s15710	AP2	ERF67	NA	Populus trichocarpa	NA
POPTR_0001s32050	AP2	ERF52	NA	Populus trichocarpa	NA
POPTR_0001s36610	AP2	ERF40	NA	Populus trichocarpa	NA
POPTR_0001s40770	AP2	ERF50	NA	Populus trichocarpa	NA
POPTR_0002s04430	AP2	ERF41	NA	Populus trichocarpa	NA
POPTR_0002s06620	AP2	ERF75	NA	Populus trichocarpa	NA
POPTR_0003s07540	AP2	POPTR_0003s07540	NA	Populus trichocarpa	NA
POPTR_0003s07850	AP2	POPTR_0003s07850	NA	Populus trichocarpa	NA
POPTR_0003s15040	AP2	ERF5	NA	Populus trichocarpa	NA
POPTR_0003s15940	AP2	ERF64	NA	Populus trichocarpa	NA
POPTR_0003s16090	AP2	XM_002304604.1	NA	Populus trichocarpa	NA
POPTR_0004s04700	AP2	ERF43	NA	Populus trichocarpa	NA
POPTR_0004s04720	AP2	ERF48	NA	Populus trichocarpa	NA
POPTR_0004s14840	AP2	ERF68	NA	Populus trichocarpa	NA
POPTR_0005s08940	AP2	ERF74	NA	Populus trichocarpa	NA
POPTR_0005s21690	AP2	ERF76	NA	Populus trichocarpa	NA
POPTR_0005s24110	AP2	ERF42	NA	Populus trichocarpa	NA
POPTR_0007s01110	AP2	ERF45	NA	Populus trichocarpa	NA
POPTR_0007s07090	AP2	ERF73	NA	Populus trichocarpa	NA
POPTR_0008s19030	AP2	ERF61	NA	Populus trichocarpa	NA
POPTR_0008s22750	AP2	ERF63	NA	Populus trichocarpa	NA
POPTR_0009s10470	AP2	ERF69	NA	Populus trichocarpa	NA
POPTR_0010s05670	AP2	ERF60	NA	Populus trichocarpa	NA
POPTR_0011s05570	AP2	ERF44	NA	Populus trichocarpa	NA
POPTR_0011s05580	AP2	POPTR_0011s05580	NA	Populus trichocarpa	NA
POPTR_0011s11620	AP2	ERF49	NA	Populus trichocarpa	NA
POPTR_0012s11030	AP2	ERF72	NA	Populus trichocarpa	NA
POPTR_0017s04540	AP2	ERF46	NA	Populus trichocarpa	NA
POPTR_0017s08090	AP2	ERF51	NA	Populus trichocarpa	NA
POPTR_0270s00200	AP2	POPTR_0270s00200	NA	Populus trichocarpa	NA
scaffold_601402.1	AP2	XM_002873590.1	NA	Arabidopsis lyrata	NA
fgenesh2_kg.1__2978__AT1G28160.1	AP2	XM_002890716.1	NA	Arabidopsis lyrata	NA
scaffold_800707.1	AP2	XM_002863608.1	NA	Arabidopsis lyrata	NA
fgenesh2_kg.1__3004__AT1G28360.1	AP2	XM_002890726.1	NA	Arabidopsis lyrata	NA
Sb01g020555	AP2	SB01G020555	NA	Sorghum bicolor	NA
Sb01g046920	AP2	SB01G046920	NA	Sorghum bicolor	NA
Sb02g026630	AP2	SB02G026630	NA	Sorghum bicolor	NA
Sb02g029550	AP2	SB02G029550	NA	Sorghum bicolor	NA
Sb02g042760	AP2	SB02G042760	NA	Sorghum bicolor	NA
Sb03g001296	AP2	SB03G001296	NA	Sorghum bicolor	NA
Sb03g034780	AP2	SB03G034780	NA	Sorghum bicolor	NA
Sb03g037080	AP2	SB03G037080	NA	Sorghum bicolor	NA
